Date,W0000_0600,W0601_1200,W1201_1800,W1801_2359,WS1,WS2,WS3,WS4,AS0000_0600,AS0601_1200,AS1201_1800,AS1801_2359,P_Value(in),A_Total,Accident
1/1/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
1/2/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
1/3/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
1/4/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
1/5/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
1/6/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
1/7/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
1/8/2016,Clear,Clear,Cold,Clear,NA,NA,Severe,NA,0,0,0,0,0,0,FALSE
1/9/2016,Clear,Clear,Rain,Rain,NA,NA,Light,Light,0,0,0,0,0,0,FALSE
1/10/2016,Clear,Rain,Rain,Rain,NA,Moderate,Light,Light,0,0,0,0,8.5,0,FALSE
1/11/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
1/12/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
1/13/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
1/14/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
1/15/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
1/16/2016,Clear,Rain,Rain,Clear,NA,Light,Light,NA,0,0,0,0,1.06,0,FALSE
1/17/2016,Snow,Clear,Clear,Snow,Light,NA,NA,Light,0,0,0,0,0.12,0,FALSE
1/18/2016,Clear,Snow,Clear,Clear,NA,Light,NA,NA,0,0,0,0,0,0,FALSE
1/19/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
1/20/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
1/21/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
1/22/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
1/23/2016,Fog,Snow,Snow,Fog,Severe,Heavy,Heavy,Severe,0,0,0,0,6.34,0,FALSE
1/24/2016,Snow,Snow,Clear,Clear,Light,Light,NA,NA,0,0,0,0,0.3,0,FALSE
1/25/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
1/26/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
1/27/2016,Clear,Rain,Clear,Clear,NA,Light,NA,NA,0,0,0,0,0,0,FALSE
1/28/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
1/29/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
1/30/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
1/31/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
2/1/2016,Clear,Clear,Clear,Rain,NA,NA,NA,Light,0,0,0,0,0,0,FALSE
2/2/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
2/3/2016,Clear,Clear,Rain,Rain,NA,NA,Light,Light,0,0,0,0,1.37,0,FALSE
2/4/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
2/5/2016,Rain,Fog,Fog,Clear,Light,Severe,Moderate,NA,0,0,0,0,0.46,0,FALSE
2/6/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
2/7/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
2/8/2016,Clear,Clear,Fog,Clear,NA,NA,Moderate,NA,0,0,0,0,0.13,0,FALSE
2/9/2016,Snow,Fog,Clear,Clear,Light,Moderate,NA,NA,0,0,0,0,0,0,FALSE
2/10/2016,Clear,Fog,Fog,Clear,NA,Moderate,Moderate,NA,0,0,0,0,0.01,0,FALSE
2/11/2016,Clear,Fog,Clear,Clear,NA,Moderate,NA,NA,0,0,0,0,0,0,FALSE
2/12/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
2/13/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
2/14/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
2/15/2016,Clear,Clear,Clear,Snow,NA,NA,NA,Moderate,0,0,0,0,0.24,0,FALSE
2/16/2016,Rain,Clear,Rain,Rain,Light,NA,Light,Light,0,0,0,0,1.04,0,FALSE
2/17/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
2/18/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
2/19/2016,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,0,FALSE
